,dec_date,ex_date,rec_date,pay_date,dvd_amt,dvd_freq,dvd_type
UBSG SW Equity,2001-04-26,2001-07-16,2001-07-13,2001-07-16,3.0,,Stock Split
UBSG SW Equity,2000-04-18,2000-05-08,2000-05-08,2000-05-08,2.0,,Stock Split
UBSG SW Equity,1992-04-23,1992-07-01,1992-06-30,1992-06-30,5.0,,Stock Split
ULVR LN Equity,2025-12-02,2025-12-09,2025-12-08,,0.888889,,Stock Split
ULVR LN Equity,2006-03-08,2006-05-22,2006-05-19,2006-05-22,0.45,,Stock Split
ULVR LN Equity,1999-02-23,1999-05-10,1999-05-07,1999-05-10,0.892857,,Stock Split
ULVR LN Equity,1997-08-01,1997-10-13,1997-10-10,1997-10-13,4.0,,Stock Split
VOD LN Equity,2014-02-19,2014-02-24,2014-02-20,2014-02-24,0.545455,,Stock Split
VOD LN Equity,2006-07-07,2006-07-31,2006-07-28,2006-07-31,0.875,,Stock Split
WDS AU Equity,1977-05-01,1977-05-12,1977-05-13,1977-05-13,1.0121,,Stock Split
DBK GR Equity,1995-05-24,1995-06-01,1995-05-31,1995-05-31,10.0,,Stock Split
MT NA Equity,2017-05-10,2017-05-18,2017-05-19,2017-05-22,0.333333,,Stock Split
STMPA FP Equity,2000-04-26,2000-05-09,2000-05-05,2000-05-09,3.0,,Stock Split
STMPA FP Equity,1999-06-04,1999-06-18,1999-06-16,,2.0,,Stock Split
9888 HK Equity,2021-03-05,2021-03-08,,,80.0,,Stock Split
9961 HK Equity,2021-03-10,2021-03-18,,,8.0,,Stock Split
1179 HK Equity,2021-04-28,2021-06-29,2021-06-30,,10.0,,Stock Split
9901 HK Equity,2021-01-26,2021-03-10,2021-03-11,,10.0,,Stock Split
9688 HK Equity,2022-02-11,2022-03-30,2022-03-31,,10.0,,Stock Split
SONY US Equity,2024-06-04,2024-10-09,2024-09-30,2024-10-08,5.0,,Stock Split
SONY US Equity,2000-03-13,2000-05-25,2000-03-30,2000-05-24,2.0,,Stock Split
TM US Equity,1982-03-14,1982-03-14,,,5.0,,Stock Split
HMC US Equity,2001-12-21,2002-01-10,2001-12-31,2002-01-09,4.0,,Stock Split
HMC US Equity,1989-03-13,1989-04-03,1989-03-27,1989-03-31,5.0,,Stock Split
SMFG US Equity,2010-10-26,2010-11-01,,,0.5,,Stock Split
AEG US Equity,2000-05-18,2000-05-30,2000-05-26,2000-05-30,2.0,,Stock Split
AEG US Equity,1998-05-13,1998-05-26,1998-05-22,1998-05-25,2.0,,Stock Split
AEG US Equity,1995-05-19,1995-06-09,1995-05-31,1995-06-08,2.5,,Stock Split
AEG US Equity,1992-05-22,1992-06-16,1992-06-08,1992-06-15,2.0,,Stock Split
ASML US Equity,2012-11-19,2012-11-29,,,1.0,,Stock Split
ASML US Equity,2007-09-20,2007-10-01,,,0.88888889,,Stock Split
ASML US Equity,2000-04-14,2000-04-17,2000-04-14,2000-04-24,3.0,,Stock Split
ASML US Equity,1998-05-01,1998-05-08,1998-05-07,1998-05-13,2.0,,Stock Split
ASML US Equity,1997-04-17,1997-05-12,1997-05-09,1997-05-14,2.0,,Stock Split
BCS US Equity,2002-04-16,2002-05-06,2002-04-26,2002-05-03,4.0,,Stock Split
BCS US Equity,1990-05-03,1990-06-08,1990-05-11,1990-06-07,1.4,,Stock Split
BTI US Equity,2017-01-13,2017-02-14,2017-02-06,2017-02-13,2.0,,Stock Split
BBVA US Equity,1998-06-24,1998-07-14,1998-07-10,1998-07-13,3.0,,Stock Split
BBVA US Equity,1997-07-03,1997-07-22,1997-07-18,1997-07-21,3.0,,Stock Split
BHP US Equity,1996-06-10,1996-06-25,1996-06-17,1996-06-24,2.0,,Stock Split
BP US Equity,1999-09-08,1999-10-04,1999-10-01,1999-10-01,2.0,,Stock Split
BP US Equity,1997-05-12,1997-06-06,1997-05-29,1997-06-05,2.0,,Stock Split
DEO US Equity,1997-12-11,1997-12-17,1997-12-16,1997-12-17,1.25,,Stock Split
DEO US Equity,1991-09-01,1991-10-28,1991-10-10,1991-11-12,2.0,,Stock Split
E US Equity,2005-12-22,2006-01-10,2005-12-30,2006-01-09,2.5,,Stock Split
ERIC US Equity,2002-10-21,2002-10-23,,,0.1,,Stock Split
ERIC US Equity,2000-05-05,2000-05-08,2000-05-10,2000-05-11,4.0,,Stock Split
ERIC US Equity,1998-04-08,1998-05-22,1998-05-27,1998-05-29,2.0,,Stock Split
ERIC US Equity,1995-05-10,1995-06-16,1995-06-20,1995-06-21,4.0,,Stock Split
ERIC US Equity,1990-09-01,1990-09-20,1990-09-19,1990-09-19,5.0,,Stock Split
FMS US Equity,2012-11-13,2012-12-04,2012-11-30,2012-12-03,2.0,,Stock Split
GSK US Equity,2022-07-18,2022-07-19,,,0.8,,Stock Split
HSBC US Equity,1999-07-02,1999-07-06,1999-07-02,1999-07-06,6.0,,Stock Split
IHG US Equity,2018-12-14,2019-01-14,,,0.95,,Stock Split
IHG US Equity,2017-04-04,2017-05-08,,,0.957447,,Stock Split
IHG US Equity,2016-04-06,2016-05-09,,,0.833333,,Stock Split
IHG US Equity,2014-06-06,2014-07-01,,,0.923077,,Stock Split
IHG US Equity,2012-09-27,2012-10-09,,,0.933333,,Stock Split
IHG US Equity,2007-06-01,2007-06-04,,,0.839286,,Stock Split
IHG US Equity,2006-06-01,2006-06-12,,,0.875,,Stock Split
IHG US Equity,2005-05-03,2005-06-27,2005-06-24,2005-07-08,0.733333,,Stock Split
