,AZN US Equity,BCS US Equity,BP US Equity,BTI US Equity,DEO US Equity,GSK US Equity,HLN US Equity,HSBC US Equity,IHG US Equity,LYG US Equity,NGG US Equity,NWG US Equity,PSO US Equity,RELX US Equity,RIO US Equity,RTO US Equity,SHEL US Equity,SNN US Equity,UL US Equity,VOD US Equity,WPP US Equity,AZN LN Equity,BARC LN Equity,BATS LN Equity,BP/ LN Equity,DGE LN Equity,GSK LN Equity,HLN LN Equity,HSBA LN Equity,IHG LN Equity,LLOY LN Equity,NG/ LN Equity,NWG LN Equity,PSON LN Equity,REL LN Equity,RIO LN Equity,RTO LN Equity,SHEL LN Equity,SN/ LN Equity,ULVR LN Equity,VOD LN Equity,WPP LN Equity
2025-09-16,264937800.0,150421800.0,153953800.0,131657600.0,209739600.0,130187500.0,135399500.0,102281700.0,17734180.0,19653740.0,28888220.0,41575400.0,5393537.0,49548050.0,218356700.0,13669970.0,493510900.0,33559540.0,135245200.0,60637830.0,9992232.0,167152200.0,133030200.0,87432790.0,85361000.0,130328500.0,101072900.0,125896900.0,188717000.0,38073930.0,75541930.0,80654220.0,84222810.0,15625070.0,108511600.0,189606600.0,13269750.0,184790700.0,64363070.0,93763600.0,45527620.0,33674510.0
2025-09-17,362156300.0,149992200.0,195328600.0,164235900.0,202371900.0,158564100.0,101764100.0,129412700.0,20545610.0,19618350.0,33796460.0,36630560.0,6669597.0,48050800.0,279535300.0,19999460.0,473212900.0,21516920.0,142467100.0,48036320.0,10020160.0,181904500.0,111474600.0,96826570.0,86125820.0,92657730.0,94398340.0,72311480.0,217250000.0,34977430.0,67821120.0,69654240.0,95213070.0,19567000.0,205360800.0,165469600.0,10991070.0,183128600.0,48488080.0,95432080.0,48348400.0,17051970.0
2025-09-18,349790900.0,223951500.0,285424300.0,160339700.0,118021800.0,81242180.0,106656600.0,75411250.0,14844490.0,14540770.0,31070530.0,34033230.0,8922748.0,94076590.0,187440500.0,16844710.0,272333500.0,15522750.0,134276100.0,53047310.0,9453650.0,179481300.0,100966200.0,195685700.0,110480000.0,94541260.0,68759650.0,106283100.0,210843300.0,30425980.0,53318080.0,69637040.0,69770830.0,15429550.0,277011300.0,191620700.0,12307900.0,160838200.0,56087900.0,121150900.0,69089260.0,14306610.0
2025-09-19,509542500.0,143272900.0,274820900.0,300126000.0,100576800.0,150021200.0,88770070.0,65866960.0,21011520.0,14640460.0,33461790.0,44897540.0,8565238.0,55114860.0,216145500.0,13623820.0,272322800.0,16487440.0,151907000.0,53630690.0,21972070.0,622626900.0,399108700.0,721519800.0,305315900.0,190863900.0,235095100.0,182762200.0,858641300.0,83254500.0,256252800.0,315936100.0,531950600.0,47758850.0,318015300.0,268582400.0,39128380.0,764922100.0,89689250.0,568398900.0,181447300.0,74501340.0
2025-09-22,377477800.0,132817300.0,336155700.0,196144700.0,173232800.0,126688300.0,88236110.0,85310380.0,11364340.0,13931780.0,39343620.0,31904820.0,6719146.0,35485090.0,224369700.0,11044970.0,251982000.0,23563680.0,228944100.0,56789820.0,14068190.0,124166100.0,81347770.0,142916000.0,91358800.0,72930680.0,57986900.0,79118730.0,201872700.0,32642270.0,72375460.0,56041220.0,127121500.0,15474060.0,107391400.0,97023750.0,9571196.0,139053500.0,68670310.0,101730600.0,46784380.0,13427070.0
2025-09-23,298336600.0,157638100.0,235148000.0,296358600.0,168148300.0,137720600.0,57125510.0,102162600.0,14297560.0,16693340.0,45767260.0,26651040.0,7312995.0,37963500.0,143590000.0,12194460.0,331691000.0,34807160.0,107307200.0,46306350.0,11353530.0,116126300.0,148542100.0,136958700.0,124738400.0,98587970.0,83864670.0,77591300.0,218304300.0,50566270.0,78823620.0,88961890.0,76708000.0,16730370.0,125662900.0,60958790.0,8687889.0,243609700.0,83620150.0,109561900.0,37543270.0,15446240.0
2025-09-24,232860100.0,184108900.0,203521800.0,314026200.0,234196100.0,131970800.0,57523970.0,78556550.0,12602870.0,19233040.0,53254160.0,45351000.0,6455135.0,39907870.0,208413400.0,17099890.0,284377500.0,35422150.0,137137900.0,49837660.0,8937981.0,143273900.0,112437000.0,161774400.0,124165600.0,88626340.0,65506230.0,67980320.0,184660600.0,27626440.0,68306140.0,99866120.0,103434900.0,12000810.0,116476000.0,105017600.0,15486400.0,228553300.0,83421420.0,131596100.0,36860150.0,10202270.0
2025-09-25,359327600.0,145476400.0,139922600.0,235339200.0,242996200.0,183713300.0,71473400.0,108860900.0,19974370.0,15093120.0,28747220.0,33397770.0,5900522.0,42216460.0,335812400.0,17198120.0,306928600.0,24479630.0,138623000.0,46613020.0,9568666.0,249239100.0,135463400.0,146423500.0,86937830.0,88559890.0,91257380.0,78110050.0,218886600.0,21274480.0,81218860.0,68805760.0,109481900.0,12835880.0,138764400.0,276414100.0,16231740.0,186285100.0,87435080.0,84335320.0,31999590.0,10237990.0
2025-09-26,320571900.0,113958100.0,218149400.0,163541000.0,109618800.0,189811200.0,108667600.0,142821900.0,27547610.0,15865300.0,30335470.0,50691610.0,3953161.0,48145260.0,408933900.0,11630400.0,310783600.0,17627520.0,169023300.0,53231600.0,10178530.0,196139500.0,139065700.0,114895700.0,122769000.0,78730990.0,110618300.0,108740900.0,237122000.0,43305460.0,81794700.0,80350020.0,105086300.0,14357310.0,173668400.0,302073200.0,21222510.0,251000500.0,82821750.0,143757200.0,39882940.0,18578900.0
2025-09-29,453855500.0,107906400.0,204581900.0,167103700.0,124868400.0,296911300.0,79096410.0,92904980.0,19706580.0,19946930.0,56923720.0,47909430.0,6053035.0,41368660.0,231679800.0,17456330.0,311920900.0,21172880.0,151656000.0,53558790.0,11797910.0,244249700.0,104298100.0,128130300.0,116194700.0,79064030.0,168584200.0,66612840.0,239709600.0,27846600.0,73937240.0,97724650.0,76583320.0,13353670.0,146018500.0,112144800.0,22925920.0,194241700.0,80867690.0,140925400.0,35122090.0,12254460.0
