id,shares,source,sedol,name,as_of_date,currency,country,adr,adr_price,adr_turnover,turnover_usd,exchange,ratio,price_usd
VWS DC Equity,245072.0,ETF,BN4MYF5,Vestas Wind Systems A/S,2025-09-25,DKK,DENMARK,VWDRY US Equity,6.325,1487880.6938461538,49106527.46268657,XCSE,0.030299041099509937,19.02871
VZ US Equity,1055845.0,ETF,2090571,Verizon Communications Inc,2025-09-25,USD,UNITED STATES,VZ US Equity,,,776321036.9230769,XNYS,,43.35
WAAREEEN IN Equity,22935.0,ETF,BSFVC74,WAAREE Energies Ltd,2025-09-25,INR,INDIA,,,,118478205.07692307,XNSE,,38.82135
WAB US Equity,44450.0,ETF,2955733,Westinghouse Air Brake Technol,2025-09-25,USD,UNITED STATES,WAB US Equity,,,225468153.84615386,XNYS,,194.52
WALMEX* MM Equity,1292000.0,ETF,BW1YVH8,Wal-Mart de Mexico SAB de CV,2025-09-25,MXN,MEXICO,WMMVY US Equity,30.75,2703406.7553846156,93047185.31818181,XMEX,0.029054148668120523,3.03845
WARBABAN KK Equity,549912.0,ETF,BDD2531,Warba Bank KSCP,2025-09-25,KWd,KUWAIT,,,,18747088.876923077,XKUW,,0.92889
WAT US Equity,14664.0,ETF,2937689,Waters Corp,2025-09-25,USD,UNITED STATES,WAT US Equity,,,249955962.15384614,XNYS,,287.79
WBC AU Equity,862098.0,ETF,6076146,Westpac Banking Corp,2025-09-25,AUD,AUSTRALIA,WBKCY US Equity,,,125317514.02985075,XASX,,24.80451
WBD US Equity,575543.0,ETF,BM8JYX3,Warner Bros Discovery Inc,2025-09-25,USD,UNITED STATES,WBD US Equity,,,967354718.4615384,XNGS,,19.78
WCN CN Equity,65743.0,ETF,BYQFRK5,Waste Connections Inc,2025-09-25,CAD,CANADA,,,,105156115.9375,XTSE,,171.38347
WCP CN Equity,308078.0,ETF,B418WK4,Whitecap Resources Inc,2025-09-25,CAD,CANADA,,,,79063761.40625,XTSE,,8.02956
WDAY US Equity,53626.0,ETF,B8K6ZD1,Workday Inc,2025-09-25,USD,UNITED STATES,WDAY US Equity,,,741145449.2307693,XNGS,,242.75
WDC US Equity,88251.0,ETF,2954699,Western Digital Corp,2025-09-25,USD,UNITED STATES,WDC US Equity,,,606881621.5384616,XNGS,,107.21
WDS AU Equity,476685.0,ETF,BMGT167,Woodside Energy Group Ltd,2025-09-25,AUD,AUSTRALIA,WDS US Equity,15.2091,11363336.784615384,82516747.1641791,XASX,0.13770946111104415,15.34333
WEC US Equity,79686.0,ETF,BYY8XK8,WEC Energy Group Inc,2025-09-25,USD,UNITED STATES,WEC US Equity,,,223493470.76923078,XNYS,,111.24
WEGE3 BZ Equity,419697.0,ETF,2945422,WEG SA,2025-09-25,BRL,BRAZIL,WEGZY US Equity,6.842,503835.13446153846,67524384.3283582,BVMF,0.007461528742142754,6.80113
WELL US Equity,165215.0,ETF,BYVYHH4,Welltower Inc,2025-09-25,USD,UNITED STATES,WELL US Equity,,,457125712.3076923,XNYS,,171.7
WES AU Equity,287499.0,ETF,6948836,Wesfarmers Ltd,2025-09-25,AUD,AUSTRALIA,WFAFY US Equity,30.44,1350224.36,97394309.85074627,XASX,0.013863483011165401,60.43115
WFC US Equity,812853.0,ETF,2649100,Wells Fargo & Co,2025-09-25,USD,UNITED STATES,WFC US Equity,,,1298144644.6153846,XNYS,,84.32
WIL SP Equity,425000.0,ETF,B17KC69,Wilmar International Ltd,2025-09-25,SGD,SINGAPORE,WLMIY US Equity,22.16,928610.32,14516699.328358209,XSES,0.0639684200241008,2.23338
WISE LN Equity,150590.0,ETF,BL9YR75,Wise PLC,2025-09-25,GBp,BRITAIN,WIZEY US Equity,14.69,976262.4107692308,15305780.590909092,XLON,0.06378390209964753,14.28607
WIX US Equity,14262.0,ETF,BFZCHN7,Wix.com Ltd,2025-09-25,USD,ISRAEL,WIX US Equity,,,221624969.23076922,XNGS,,173.595
WKL NA Equity,60182.0,ETF,5671519,Wolters Kluwer NV,2025-09-25,EUR,NETHERLANDS,WTKWY US Equity,134.02,10588086.292307692,102597147.76119404,XAMS,0.10320059108224537,131.41546
WM US Equity,101190.0,ETF,2937667,Waste Management Inc,2025-09-25,USD,UNITED STATES,WM US Equity,,,384410706.15384614,XNYS,,217.16
WMB US Equity,307680.0,ETF,2967181,Williams Cos Inc/The,2025-09-25,USD,UNITED STATES,WMB US Equity,,,427316250.7692308,XNYS,,63.31
WMT US Equity,1108039.0,ETF,2936921,Walmart Inc,2025-09-25,USD,UNITED STATES,WMT US Equity,,,1608631480.0,XNYS,,103.05
WN CN Equity,42635.0,ETF,2956662,George Weston Ltd,2025-09-25,CAD,CANADA,,,,33148195.9375,XTSE,,60.32578
WOW AU Equity,299567.0,ETF,6981239,Woolworths Group Ltd,2025-09-25,AUD,AUSTRALIA,,,,64160084.17910448,XASX,,17.53524
WPC US Equity,58020.0,ETF,B826YT8,WP Carey Inc,2025-09-25,USD,UNITED STATES,WPC US Equity,,,80596985.38461539,XNYS,,67.4
WPM CN Equity,112540.0,ETF,BF13KN5,Wheaton Precious Metals Corp,2025-09-25,CAD,CANADA,,,,120004229.21875,XTSE,,107.42681
WPP LN Equity,316537.0,ETF,B8KF9B4,WPP PLC,2025-09-25,GBp,BRITAIN,WPP US Equity,24.46,13689691.384615384,22545549.803030305,XLON,0.6072014878419766,4.68999
WPRO IN Equity,632144.0,ETF,6206051,Wipro Ltd,2025-09-25,INR,INDIA,WIT US Equity,2.675,20790579.276923075,26268697.89230769,XNSE,0.7914583114152459,2.72699
WRB US Equity,76615.0,ETF,2093644,W R Berkley Corp,2025-09-25,USD,UNITED STATES,WRB US Equity,,,141468617.07692307,XNYS,,74.56
WRT1V FH Equity,135328.0,ETF,4525189,Wartsila OYJ Abp,2025-09-25,EUR,FINLAND,WRTBY US Equity,6.23,27118.686769230775,21070737.179104477,XHEL,0.0012870307544875059,29.37591
